,Total,July,August,September,October,November,December,January
Marketing - Sales Ops,"€ 6.866,68","€ 691,66","€ 691,66","€ 738,29","€ 849,49","€ 852,36","€ 1.521,61","€ 1.521,61"
Total Marketing,"€ 54.533,46","€ 3.143,75","€ 4.487,28","€ 3.933,91","€ 4.694,86","€ 10.659,32","€ 13.807,17","€ 13.807,17"
Office,,,,,,,,
Software Licenses & Subscriptions,"€ 23.442,29","€ 3.632,38","€ 3.542,95","€ 3.460,61","€ 3.533,80","€ 3.094,39","€ 3.089,08","€ 3.089,08"
Office Supplies,"€ 861,79","€ 0,00","€ 0,00","€ 156,09","€ 137,96","€ 157,42","€ 205,16","€ 205,16"
Hardware,"€ 4.892,47","€ 551,48","€ 555,94","€ 576,42","€ 773,45","€ 716,08","€ 859,55","€ 859,55"
Phones,"€ 2.954,90","€ 420,70","€ 420,70","€ 420,70","€ 420,70","€ 430,70","€ 420,70","€ 420,70"
Internet,"€ 2.392,32","€ 341,76","€ 341,76","€ 341,76","€ 341,76","€ 341,76","€ 341,76","€ 341,76"
Education/Trainings,"€ 4.285,72","€ 0,00","€ 0,00","€ 0,00","€ 1.071,43","€ 1.071,43","€ 1.071,43","€ 1.071,43"
Staff Appreciation,"€ 4.816,63","€ 319,88","€ 270,80","€ 502,18","€ 564,96","€ 1.134,57","€ 1.012,12","€ 1.012,12"
Total Office,"€ 43.646,12","€ 5.266,20","€ 5.132,15","€ 5.457,76","€ 6.844,06","€ 6.946,35","€ 6.999,80","€ 6.999,80"
Utilities and Maintenance,,,,,,,,
Utilities,"€ 41.381,90","€ 4.151,01","€ 6.176,04","€ 3.256,54","€ 4.076,17","€ 7.508,68","€ 8.106,73","€ 8.106,73"
Wi-Fi,"€ 12.060,95","€ 1.708,85","€ 1.708,85","€ 1.758,35","€ 1.708,85","€ 1.758,35","€ 1.708,85","€ 1.708,85"
Cleaning,"€ 15.330,00","€ 2.190,00","€ 2.190,00","€ 2.190,00","€ 2.190,00","€ 2.190,00","€ 2.190,00","€ 2.190,00"
Maintenance,"€ 37.538,14","€ 6.391,46","€ 4.782,19","€ 5.471,79","€ 5.555,96","€ 5.111,10","€ 5.112,82","€ 5.112,82"
Total Maintenance,"€ 106.310,99","€ 14.441,32","€ 14.857,08","€ 12.676,68","€ 13.530,98","€ 16.568,13","€ 17.118,40","€ 17.118,40"
Financial,,,,,,,,
Bank Charges,"€ 8.861,07","€ 1.208,84","€ 1.094,16","€ 1.178,87","€ 1.932,52","€ 1.188,60","€ 1.129,04","€ 1.129,04"
Non-Deductible Costs,"€ 180,00","€ 0,00","€ 0,00","€ 180,00","€ 0,00","€ 0,00","€ 0,00","€ 0,00"
Foreign exchange gains (losses),"€ 74,52","€ 31,95","€ 0,00","€ 13,50","€ 27,95","€ 1,12","€ 0,00","€ 0,00"
Miscellaneous,"€ 443,79","€ 55,77","€ 55,77","€ 109,17","€ 55,77","€ 55,77","€ 55,77","€ 55,77"
Total Financial,"€ 9.559,38","€ 1.296,56","€ 1.149,93","€ 1.481,54","€ 2.016,24","€ 1.245,49","€ 1.184,81","€ 1.184,81"
Contingencies,,,,,,,,
Contingencies,"€ 10.980,19","€ 0,00","€ 0,00","€ 1.839,63","€ 0,00","€ 0,00","€ 4.570,28","€ 4.570,28"
Total Contingencies and Deferred,"€ 10.980,19","€ 0,00","€ 0,00","€ 1.839,63","€ 0,00","€ 0,00","€ 4.570,28","€ 4.570,28"
TOTAL SG&A,"€ 524.106,26","€ 31.628,17","€ 46.649,68","€ 67.257,86","€ 80.055,15","€ 84.970,92","€ 113.664,25","€ 99.880,23"
