Azienda,Settore,Dimensione,Livello,Contatto,Email,Tipo Contratto,Durata Contratto,Season,Commercial Value,Bonus Playoff,Net of Ticketing,Gameday Reconciliation,VB Reconciliaiton,CSR Reconciliation,Corp Tix Reconciliation,Sponsor Reconciliation,Delta,July,August,September,October,November,December,January,February,March,April,May,June
ACOMEA,Finanziario/Bancario,Grande,Nazionale,,,CASH,Anno Solare,24/25,5.000 €,,5.000 €,375 €,,,0 €,-625 €,2.300 €,,,,,,,,,,,,
AERAS AVIATION,Aerospace,Grande,Internazionale,,,CASH,Stagione,24/25,30.000 €,4.500 €,14.658 €,815 €,,,12.132 €,2.073 €,1.323 €,,,10.000 €,,,10.000 €,,,10.000 €,,,
AGRICOLA,Commercio/GDO,Piccola,Locale,,,CASH,Stagione,24/25,15.000 €,2.500 €,13.215 €,562 €,,,1.785 €,4.670 €,4.245 €,,,5.000 €,,,5.000 €,,5.000 €,,,,
ALA,Aerospace,Grande,Internazionale,,,CASH,Stagione,24/25,20.000 €,3.000 €,13.852 €,717 €,,,4.918 €,2.912 €,2.412 €,,,10.000 €,,,10.000 €,,,,,,
AON,Assicurazioni,Grande,Nazionale,,,CASH,Stagione,24/25,15.000 €,2.000 €,8.852 €,455 €,,,4.918 €,1.847 €,422 €,,,,,,15.000 €,,,,,,
ARTES ,Industria,Media,Locale,,,CASH,Stagione,24/25,16.500 €,3.000 €,14.715 €,798 €,,,1.785 €,2.753 €,2.678 €,,,,,,,6.500 €,5.000 €,5.000 €,,,
AUTOLINEE VARESINE,Trasporti,Media,Locale,,,CM,Stagione,24/25,12.000 €,,1.434 €,0 €,,,8.316 €,1.134 €,1.134 €,,,,,,,,,,,,
BADI,Food & Beverage,Piccola,Locale,,,CM,Stagione,24/25,8.000 €,,3.976 €,345 €,,,2.524 €,-1.319 €,-1.394 €,,,,,,,,,,,,
BIRRA CASTELLO,Food & Beverage,Grande,Nazionale,,,CASH,Stagione,24/25,12.500 €,,12.500 €,914 €,,,0 €,-1.205 €,-1.230 €,,,,,12.500 €,,,,,,,
BRAGA,Industria,Grande,Nazionale,,,CASH,Stagione,24/25,20.000 €,3.000 €,20.000 €,1.237 €,,,0 €,1.450 €,600 €,,,,,20.000 €,,,,,,,
